,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(0, 4)","(0, 5)","(0, 6)","(0, 7)","(0, 8)","(0, 9)","(0, 10)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 7)","(1, 8)","(1, 9)","(1, 10)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(2, 7)","(2, 8)","(2, 9)","(2, 10)","(3, 0)","(3, 1)","(3, 2)","(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(3, 10)","(4, 0)","(4, 1)","(4, 2)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(4, 10)"
"[[], [], [], [], []]",46.33987887778893,48.76161873960143,36.57694909806194,44.34822451567607,44.674543945725716,26.222677240281133,28.8898468244011,31.040261782025866,36.501377224622615,34.62703868871319,30.344503705713347,50.74513512992157,44.06836560938667,49.709680565188314,64.70218185381975,35.52854778806468,40.901775926264605,26.383821811334297,42.08588381129539,40.12826593338225,31.341807333435142,42.58255569476233,40.731224079019704,36.38963651516754,52.76268767939918,48.28526247572493,42.66731312202367,39.64217715951328,30.733841855698564,37.75431266986615,42.80136152594858,35.99195065096199,38.7496093579289,48.14275615094098,43.08826578180874,46.1145629489935,45.138172484245146,29.758126783385045,43.85838612503422,29.758978878787964,35.12743235172393,40.06495207165802,30.280277525561054,41.87415795611134,42.38323871066855,42.37002627383508,46.847907818506606,40.657098815305055,40.439629821238114,46.1625666100687,34.023735625220915,37.862004680284855,37.68444916488542,30.976889035384094,40.342384230927976
"[[], [3], [], [], []]",58.207802204466624,52.60115841318748,51.87333183562803,,46.715171691154495,52.8685012756616,44.86366888307551,42.18456814301336,59.78523615263704,42.67812518217575,56.88142351133714,51.65141672787482,66.19189373040396,61.219818644220375,,57.78295058828552,50.6623455740462,38.039329980535726,62.89241087132532,83.86025979163186,55.98212314522981,69.52664113748439,57.36966586973614,50.58973853687143,52.943493264872046,,53.20150198872514,57.07196316207566,57.35777289863688,45.518105615100055,45.04859648014333,39.72058607044081,51.14104932564425,58.359944793778105,45.64041481795969,58.29722379039817,,57.94778441772079,36.64937028358039,44.192760594902296,48.81799086928355,50.15780092735534,45.22120408936409,36.51375194109433,44.309667951618934,52.68470719782075,60.07542685652996,,54.477184217812614,43.782378914748776,43.33319957116936,52.305683904826,45.1158196062367,44.96619473850141,45.32870176425608
"[[], [3, 8], [], [], []]",102.65751398898507,97.21408562119348,78.31675442265636,,73.11019216128648,72.98752625132327,70.04808126510882,70.67299813607092,,61.19781811494953,56.8718402802182,60.20572014313794,65.31781324583902,-28.999890142579243,,66.73611578093747,61.9130055482625,58.9192528196463,74.63438625178041,,72.57773866001283,82.75416550424934,72.11931299455023,70.08332716742505,80.96446055053693,,78.39029582922184,75.76145954536595,71.22316298269634,93.96787667689672,,67.12074755133688,70.64243762974796,56.124502807660534,60.06439893534219,84.92766189259511,,68.95501848236796,78.12969001981965,49.818248675555495,64.81707003657533,,64.75843856964974,72.61600919138337,78.57042613019878,60.108278921920004,74.57674593495791,,67.37039877389441,74.2650577507523,65.32809560677839,59.8903316012092,,75.11582009927312,56.67174014955849
"[[0], [3, 8], [], [], []]",,118.08216284236102,84.1619884255463,,83.05643391767428,90.64385935878946,81.02262403182797,87.90486140109168,,64.25564814834223,67.35590121455586,,76.26208040037851,-28.997277630702083,,71.89228414965716,73.35364134331378,64.12937719675234,81.6042333893761,,89.31054355749608,93.43233912631891,,76.45777395231505,88.7412127082304,,85.91857152791344,87.78154753753914,86.48199723229857,113.93964612713108,,75.46189856852344,65.41572667660425,,66.75199680708131,95.91002297630094,,79.27632944421815,88.21486987238357,67.11649342366374,78.37964864566436,,56.141966235590075,93.00093512108333,,81.15877281103654,71.85805745775005,,73.87434452603745,87.59180583040609,64.1340286799511,87.10485012988927,,82.44890970002808,75.34022042124553
"[[0, 1], [3, 8], [], [], []]",,,-28.90362450134816,,-27.829745397,99.12615911116565,83.19988459194042,94.8325950736621,,62.10854178860701,68.80457446031612,,,-28.862320716211656,,69.78201590648519,67.90983532372987,88.71267107601517,96.18606505157658,,93.12876082036453,69.35220242933582,,,86.48252623480973,,83.6134885101488,56.230979680174066,98.36147765163724,131.5459469211915,,62.799509949881504,46.63889001528,,,102.05602282533357,,70.83694430188541,91.27761672877094,63.305322331586645,52.490935639122,,48.128169708179996,102.01133667665788,,,68.08138542390499,,81.89972768845861,93.3071072355358,83.15420968590198,94.83831700742904,,89.4063687885869,79.82737560844319
"[[], [3, 8], [], [], [9]]",85.09335812912065,0.0,0.0,,8.552999999999999,6.3,0.0,0.0,,,0.0,7.199999999999999,0.0,-8.7,,0.0,0.0,5.3999999999999995,5.7,,,0.0,0.0,0.0,7.199999999999999,,0.0,0.0,7.461359999999999,5.7,,,12.536999999999999,7.199999999999999,0.0,9.027,,0.0,6.3,0.0,5.7,,,6.3,0.0,0.0,0.0,,0.0,6.6,0.0,0.0,,,0.0
"[[0], [3, 8], [], [], [9]]",,89.51979032703778,30.440399999999997,,0.0,9.0,0.0,0.0,,,19.381739821109996,,0.0,0.0,,0.0,0.0,7.8,8.1,,,8.7,,8.7,11.931,,9.0,0.0,0.0,8.1,,,10.968,,0.0,0.0,,11.268,27.672124499999995,0.0,0.0,,,0.0,,0.0,9.6,,0.0,0.0,0.0,0.0,,,0.0
"[[0, 1], [3, 8], [], [], [9]]",,,-8.7,,-14.79,88.79113104167918,0.0,33.086051999999995,,,10.5,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,11.4,,10.799999999999999,0.0,0.0,0.0,,,0.0,,,13.982999999999999,,0.0,0.0,0.0,9.9,,,0.0,,,11.4,,0.0,0.0,16.680065999999997,0.0,,,0.0
"[[0, 1], [3, 8], [7], [], []]",,,-28.42657524453,,-28.90362450134816,69.74992488331945,60.22644277590681,,,48.2885272866,76.19953060033608,,,-28.719021869819702,,56.30063816999999,75.19714488025546,61.68671559841645,,,69.15354138664395,60.95927105210089,,,67.3598659959,,68.59123743358799,57.620841228,64.51960059334853,,,68.84501654807868,75.05611837763773,,,63.778117632,,112.58507913237192,85.07308129927706,52.92430488499461,,,66.63129711969052,76.62742625813712,,,146.4942098928391,,49.177709699999994,37.840704,54.85391869139999,,,66.8088174490038,44.804243729999996
"[[], [], [1], [], []]",45.463663655689764,,5.59344,3.3,4.56,0.0,6.807401999999999,3.408,3.771,2.6999999999999997,0.0,0.0,,7.952999999999999,0.0,0.0,0.0,3.9843299999999995,2.4,2.6999999999999997,2.6999999999999997,0.0,0.0,,0.0,0.0,3.9,0.0,3.1559999999999997,3.0,0.0,3.0,3.3,0.0,,0.0,0.0,0.0,0.0,0.0,2.4,5.4719999999999995,0.0,6.234,7.952999999999999,,0.0,3.3,0.0,0.0,0.0,3.219,0.0,5.661,0.0
"[[0], [], [1], [], []]",,,50.71962728398803,0.0,6.0,0.0,4.8,0.0,6.675,0.0,0.0,,,0.0,5.7,7.148999999999999,0.0,7.13277,6.249,5.1,12.779426999999998,5.3999999999999995,,,0.0,6.3,0.0,0.0,0.0,5.3999999999999995,7.038,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[[0, 2], [], [1], [], []]",,,,-8.7,-14.79,-8.7,7.199999999999999,0.0,7.8,0.0,-8.7,,,,0.0,8.1,0.0,6.8999999999999995,14.067,0.0,0.0,0.0,,,,0.0,0.0,50.25386274199199,0.0,0.0,0.0,0.0,8.1,,,,0.0,0.0,0.0,8.600999999999999,0.0,0.0,0.0,7.8,,,,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[[3], [], [], [], []]",10.674,0.0,0.0,,14.626289728363803,0.0,3.771,3.3,0.0,7.379999999999999,0.0,0.0,6.869999999999999,4.2,,55.24163640879042,3.3,0.0,0.0,0.0,0.0,6.555,0.0,0.0,0.0,,0.0,6.807,5.087999999999999,0.0,3.0,4.197,3.3,0.0,0.0,5.648999999999999,,3.5999999999999996,4.56,0.0,0.0,0.0,6.297000000000001,0.0,12.429320563326606,3.3,8.588999999999999,,0.0,0.0,2.4,0.0,0.0,0.0,3.3
"[[3], [4], [], [], []]",0.0,5.7,6.3,,,0.0,0.0,5.1,0.0,5.3999999999999995,0.0,0.0,5.7,0.0,,,0.0,0.0,5.1,0.0,5.1,0.0,0.0,0.0,0.0,,,0.0,0.0,4.5,4.8,4.8,0.0,62.92826217449054,0.0,0.0,,,0.0,12.717179999999999,0.0,9.608999999999998,0.0,0.0,0.0,0.0,6.0,,,0.0,8.588999999999999,0.0,0.0,4.8,0.0
"[[3], [4], [], [0], []]",,0.0,0.0,,,0.0,0.0,0.0,0.0,64.52000179639768,7.8,,0.0,0.0,,,0.0,7.199999999999999,0.0,0.0,0.0,0.0,,0.0,0.0,,,14.577,0.0,0.0,0.0,7.199999999999999,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,7.5,0.0,0.0,7.199999999999999,0.0,7.5
"[[3, 9], [4], [], [0], []]",,9.299999999999999,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,9.9,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,61.79598150769759,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0
"[[1, 3, 9], [4], [], [0], []]",,,-8.7,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,0.0
"[[], [3], [], [6], []]",53.111215652708104,0.0,4.8,,0.0,3.9,,0.0,0.0,0.0,0.0,5.1,0.0,5.1,,4.8,0.0,,3.9,0.0,0.0,4.2,0.0,3.9,0.0,,4.2,0.0,,8.207175,0.0,4.859999999999999,0.0,10.181999999999999,0.0,4.8,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.8,,5.396999999999999,22.55194680165637,,0.0,3.5999999999999996,0.0,5.223
"[[0], [3], [], [6], []]",,0.0,0.0,,0.0,0.0,,0.0,0.0,6.0,8.363999999999999,,0.0,0.0,,9.09,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,6.6,0.0,,7.2749999999999995,6.0,0.0,6.3,,0.0,0.0,,0.0,8.238,,6.0,0.0,7.638,0.0,,0.0,59.198524776041,,0.0,15.09089782221,,0.0,0.0,0.0,0.0
"[[0], [3], [], [6], [2]]",,0.0,,,0.0,9.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,8.7,,,0.0,8.7,,0.0,0.0,8.4,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,8.7,,,0.0,57.812752559219994,,0.0,0.0,16.422,0.0
"[[0], [3], [], [6], [2, 5]]",,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,10.2,0.0,0.0,0.0,,10.2,,,0.0,,,0.0,0.0,0.0,0.0,,10.5,,,61.117328486999995,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0
"[[0], [3], [], [4, 6], [2, 5]]",,59.94195825,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0
"[[0, 1], [3], [], [4, 6], [2, 5]]",,,,,,,,14.1,0.0,0.0,0.0,,,,,,,,14.399999999999999,0.0,0.0,0.0,,,,,,,,0.0,14.1,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,50.66733,0.0,0.0
"[[0, 1, 7], [3], [], [4, 6], [2, 5]]",,,,,,,,,-8.7,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0
"[[], [3, 8], [1], [], []]",77.77568746151523,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,6.8999999999999995,0.0,0.0,0.0,,8.064,0.0,0.0,,0.0,,7.5,0.0,0.0,0.0,,0.0,0.0,0.0,,9.578999999999999,,0.0,0.0,0.0,0.0,,12.536999999999999,0.0,7.5,,0.0,,6.8999999999999995,13.11,7.212,0.0,,0.0,0.0
"[[0], [3, 8], [1], [], []]",,,77.20396678774348,,0.0,0.0,19.97646,8.7,,8.7,0.0,,,-8.7,,0.0,11.393999999999998,8.1,0.0,,8.7,17.694,,,0.0,,0.0,0.0,23.839199999999998,0.0,,0.0,17.951999999999998,,,0.0,,0.0,0.0,17.0557587,0.0,,0.0,0.0,,,0.0,,0.0,0.0,8.1,10.668000000000001,,0.0,9.0
"[[0, 2], [3, 8], [1], [], []]",,,,,-14.79,-8.7,0.0,0.0,,0.0,0.0,,,,,0.0,14.171999999999999,0.0,13.509,,0.0,22.089,,,,,0.0,0.0,0.0,65.85284260581899,,0.0,0.0,,,,,0.0,0.0,10.5,18.36,,0.0,0.0,,,,,0.0,11.4,0.0,0.0,,11.1,0.0
"[[], [], [5], [], []]",0.0,0.0,50.37389348185093,0.0,4.56,,0.0,0.0,0.0,3.771,3.0,0.0,0.0,3.9,14.995041721760614,0.0,,0.0,7.966259999999998,2.6999999999999997,2.6999999999999997,0.0,4.2,0.0,0.0,0.0,6.50631,,0.0,0.0,4.1339999999999995,3.0,4.497,3.9,0.0,3.9,0.0,6.869999999999999,,2.1,2.4,2.6999999999999997,0.0,0.0,3.9,3.0,3.9,0.0,3.3,,0.0,2.4,0.0,2.6999999999999997,6.234
"[[2], [], [5], [], []]",0.0,5.3999999999999995,,6.0,11.963999999999999,,4.5,4.8,5.1,0.0,0.0,0.0,5.3999999999999995,,57.211937376196104,0.0,,0.0,4.8,0.0,0.0,0.0,0.0,0.0,,6.3,6.3,,0.0,5.3999999999999995,5.3999999999999995,0.0,0.0,0.0,0.0,,5.7,0.0,,4.5,0.0,5.1,6.675,5.3999999999999995,0.0,0.0,,0.0,5.7,,8.91,4.8,5.1,0.0,5.3999999999999995
"[[2], [3], [5], [], []]",59.529089521131866,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,6.6,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,7.199999999999999,0.0,0.0,14.256,,,7.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0
"[[0, 2], [3], [5], [], []]",,-8.7,,,0.0,,0.0,0.0,0.0,9.6,0.0,,0.0,,,0.0,,0.0,0.0,0.0,9.9,0.0,,0.0,,,0.0,,0.0,0.0,0.0,9.6,52.189473534209995,,0.0,,,19.098,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0
